mana_cost1,name1,type_line0,mana_cost0,type_line1,oracle_text0,name0,oracle_text1
,,Sorcery,{1}{W}{B},,Exile target nonland permanent an opponent controls and all tokens that player controls with the same name as that permanent.,Legions to Ashes,
,,Creature — Cat Rebel,{2}{W},,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
As long as Leonin Lightbringer is equipped, it gets +1/+1.",Leonin Lightbringer,
,,Instant,{1}{B},,"Target creature gets -2/-2 until end of turn. It gets an additional -1/-1 until end of turn for each modified creature you controlled as you cast this spell. (Equipment, Auras you control, and counters are modifications.)",Lethal Exploit,
,,Artifact,{2},,"Flying
Whenever you cast a noncreature spell, put a +1/+1 counter on Levitating Statue.
{2}: Levitating Statue becomes a 1/1 Construct artifact creature until end of turn.",Levitating Statue,
,,Enchantment,{5}{W},,"Flash
Domain — This spell costs {1} less to cast for each basic land type among lands you control.
When Leyline Binding enters the battlefield, exile target nonland permanent an opponent controls until Leyline Binding leaves the battlefield.",Leyline Binding,
,,Enchantment — Aura,{3}{G},,"Enchant legendary creature
Enchanted creature has ward {2} and ""{T}: Add five mana in any combination of colors. Spend this mana only to cast spells.""",Leyline Immersion,
,,Legendary Artifact Creature — Thopter,{3},,"Flash
Flying
You may cast colorless spells and artifact spells as though they had flash.
Whenever you cast a spell, if the amount of mana spent to cast that spell is greater than Liberator, Urza's Battlethopter's power, put a +1/+1 counter on Liberator.","Liberator, Urza's Battlethopter",
,,Legendary Creature — Human Wizard,{3}{U}{U},,"Spells can't be countered.
Each instant and sorcery card in your graveyard has flashback. The flashback cost is equal to that card's mana cost.","Lier, Disciple of the Drowned",
,,Legendary Creature — Angel,{2}{W}{W}{B},,"Flying, lifelink
Whenever another nontoken creature you control dies, return that card to its owner's hand at the beginning of the next end step.
If a creature an opponent controls would die, exile it instead.","Liesa, Forgotten Archangel",
,Memory of Toshiro,Enchantment — Saga,{1}{B},Enchantment Creature — Human Samurai,"(As this Saga enters and after your draw step, add a lore counter.)
I, II — Choose one —
• Target creature gets +2/+2 until end of turn.
• Target creature gets -1/-1 until end of turn.
• You gain 2 life.
III — Exile this Saga, then return it to the battlefield transformed under your control.",Life of Toshiro Umezawa,"{T}, Pay 1 life: Add {B}. Spend this mana only to cast an instant or sorcery spell."
,,Sorcery,{1}{R},,"Casualty 2 (As you cast this spell, you may sacrifice a creature with power 2 or greater. When you do, copy this spell and you may choose a new target for the copy.)
Light 'Em Up deals 2 damage to target creature or planeswalker.",Light 'Em Up,
,,Instant,{1}{R},,Lightning Strike deals 3 damage to any target.,Lightning Strike,
,,Creature — Wolf,{3}{R},,{1}{R}: Lightning Wolf gains first strike until end of turn. Activate only as a sorcery.,Lightning Wolf,
,,Legendary Creature — Fox Advisor,{1}{W},,"Whenever an Aura enters the battlefield under your control, if you cast it, you may search your library for an Aura card with mana value less than or equal to that Aura and with a different name than each Aura you control, put that card onto the battlefield attached to Light-Paws, Emperor's Voice, then shuffle.","Light-Paws, Emperor's Voice",
,,Instant,{W},,"Choose one —
• Put a +1/+1 counter on target creature or Vehicle. Untap it.
• Return target permanent you control to its owner's hand.",Light the Way,
,,Sorcery,{X}{R},,"Light Up the Night deals X damage to any target. It deals X plus 1 damage instead if that target is a creature or planeswalker.
Flashback—{3}{R}, Remove X loyalty counters from among planeswalkers you control. If you cast this spell this way, X can't be 0. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Light Up the Night,
,,Legendary Planeswalker — Liliana,{1}{B}{B},,"+1: Each player discards a card.
-2: Target player sacrifices a creature.
-6: Separate all permanents target player controls into two piles. That player sacrifices all permanents in the pile of their choice.",Liliana of the Veil,
,,Creature — Beast,{3}{G}{G},,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)
Linebreaker Baloth can't be blocked by creatures with power 2 or less.",Linebreaker Baloth,
,,Artifact Creature — Equipment Cat,{1}{W},,"{W}: Exile target card from a graveyard. If it was a permanent card, put a +1/+1 counter on Lion Sash.
Equipped creature gets +1/+1 for each +1/+1 counter on Lion Sash.
Reconfigure {2} ({2}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",Lion Sash,
,,Sorcery,{R},,"This spell can't be countered.
Lithomantic Barrage deals 1 damage to target creature or planeswalker. It deals 5 damage instead if that target is white and/or blue.",Lithomantic Barrage,
,,Artifact Creature — Equipment Lizard,{1}{R},,"Double strike
Equipped creature has double strike.
Reconfigure {2} ({2}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",Lizard Blades,
,,Creature — Spider,{2}{G},,"Reach, trample
Domain — {7}{G}: Return Llanowar Greenwidow from your graveyard to the battlefield tapped. It gains ""If this permanent would leave the battlefield, exile it instead of putting it anywhere else."" This ability costs {1} less to activate for each basic land type among lands you control.",Llanowar Greenwidow,
,,Creature — Elf Druid,{1}{G},,"{T}: Add one mana of any color.
{T}: Target land you control becomes a 3/3 Elemental creature with haste until end of turn. It's still a land. Activate only as a sorcery.",Llanowar Loamspeaker,
,,Creature — Elf Warrior,{G},,"Whenever another creature enters the battlefield under your control, Llanowar Stalker gets +1/+0 until end of turn.",Llanowar Stalker,
,,Land,,,"{T}: Add {C}.
{T}: Add {B} or {G}. Llanowar Wastes deals 1 damage to you.",Llanowar Wastes,
,,Enchantment — Aura,{1}{U},,"Enchant creature
When Locked in the Cemetery enters the battlefield, if there are five or more cards in your graveyard, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.",Locked in the Cemetery,
,,Legendary Creature — Human Artificer,{3}{W},,"Whenever Loran, Disciple of History or another legendary creature enters the battlefield under your control, return target artifact card from your graveyard to your hand.","Loran, Disciple of History",
,,Legendary Creature — Human Artificer,{2}{W},,"Vigilance
When Loran of the Third Path enters the battlefield, destroy up to one target artifact or enchantment.
{T}: You and target opponent each draw a card.",Loran of the Third Path,
,,Instant,{W},,Target artifact or creature gains hexproof and indestructible until end of turn. Scry 1.,Loran's Escape,
,,Creature — Demon,{4}{B}{B},,"Flying, trample
{B}, Sacrifice another creature: Target player mills three cards.
Pay 1 life: Add {C}. Spend this mana only to cast a spell from your graveyard.",Lord of the Forsaken,
,,Legendary Creature — Vampire Demon Noble,{4}{U}{B}{R},,"When Lord Xander, the Collector enters the battlefield, target opponent discards half the cards in their hand, rounded down.
Whenever Lord Xander attacks, defending player mills half their library, rounded down.
When Lord Xander dies, target opponent sacrifices half the nonland permanents they control, rounded down.","Lord Xander, the Collector",
,,Enchantment — Saga,{2}{W},,"Read ahead (Choose a chapter and start with that many lore counters. Add one after your draw step. Skipped chapters don't trigger. Sacrifice after III.)
I — You and target opponent each draw two cards.
II — Create a 1/1 white Bird creature token with flying.
III — Put a +1/+1 counter on each of up to two target creatures.",Love Song of Night and Day,
,,Creature — Hippogriff,{2}{W},,"Flash
Flying
When Loyal Gryff enters the battlefield, you may return another creature you control to its owner's hand.",Loyal Gryff,
,,Sorcery,{W},,Destroy target artifact with mana value 3 or less. You gain 3 life.,Lucky Offering,
,"Olag, Ludevic's Hubris",Legendary Creature — Human Wizard,{U}{B},Legendary Creature — Zombie,"Whenever Ludevic, Necrogenius enters the battlefield or attacks, mill a card.
{X}{U}{U}{B}{B}, Exile X creature cards from your graveyard: Transform Ludevic. X can't be 0. Activate only as a sorcery.","Ludevic, Necrogenius","As this creature transforms into Olag, Ludevic's Hubris, it becomes a copy of a creature card exiled with it, except its name is Olag, Ludevic's Hubris, it's 4/4, and it's a legendary blue and black Zombie in addition to its other colors and types. Put a number of +1/+1 counters on Olag equal to the number of creature cards exiled with it."
,,Legendary Planeswalker — Lukka,{2}{R}{R/G/P}{G},,"Compleated ({R/G/P} can be paid with {R}, {G}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
+1: Add {R}{G}. Spend this mana only to cast creature spells or activate abilities of creatures.
-1: Create a 3/3 green Phyrexian Beast creature token with toxic 1.
-4: Lukka deals X damage divided as you choose among any number of target creatures and/or planeswalkers, where X is the greatest power among creatures you controlled as you activated this ability.","Lukka, Bound to Ruin",
,Luminous Phantom,Creature — Human Cleric,{W},Creature — Spirit Cleric,"Whenever another creature enters the battlefield under your control, you gain 1 life.
Disturb {1}{W} (You may cast this card from your graveyard transformed for its disturb cost.)",Lunarch Veteran,"Flying
Whenever another creature you control leaves the battlefield, you gain 1 life.
If Luminous Phantom would be put into a graveyard from anywhere, exile it instead."
,,Instant,{X}{R},,Target creature you control gets +X/+0 and gains first strike and trample until end of turn.,Lunar Frenzy,
,,Instant,{1}{U},,"Cleave {3}{U} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)
Return target [Wolf or Werewolf] creature to its owner's hand.
Draw a card.",Lunar Rejection,
,,Legendary Artifact — Equipment,{1},,"Equipped creature gets +1/+1 for each counter on it.
Equipped permanent isn't a planeswalker and is a creature in addition to its other types. (Loyalty abilities can still be activated.)
Equip planeswalker {1}
Equip {3}","Luxior, Giada's Gift",
,,Instant,{X}{G},,Target creature gets +X/+X until end of turn. Create a 1/1 green and white Citizen creature token.,Luxurious Libation,
,,Instant,{1}{U},,"This spell costs {1} less to cast if you control an artifact creature.
Return target nonland permanent to its owner's hand.",Machine Over Matter,
,,Enchantment,{U}{B}{R},,"Once during each of your turns, you may cast an instant or sorcery spell from your graveyard by sacrificing a creature in addition to paying its other costs. If a spell cast this way would be put into your graveyard, exile it instead.",Maestros Ascendancy,
